Id xOrigin yOrigin xEnd yEnd
191 0.705212 0.330115 0.613839 0.321429
192 0.703125 0.421875 0.705212 0.330115
193 0.705212 0.330115 0.875 0.375
194 0.705212 0.330115 0.625 0.1875
195 0.703125 0.421875 0.590473 0.432104
196 0.590473 0.432104 0.613839 0.321429
197 0.5 0.5 0.590473 0.432104
200 0.703125 0.421875 0.654316 0.509772
201 0.654316 0.509772 0.590473 0.432104
202 0.640625 0.609375 0.654316 0.509772
203 0.654316 0.509772 0.5 0.5
204 0.654316 0.509772 0.8125 0.5625
205 0.5 0.25 0.476906 0.375
207 0.5 0.5 0.476906 0.375
208 0.476906 0.375 0.590473 0.432104
209 0.476906 0.375 0.613839 0.321429
217 0.3125 0.1875 0.381582 0.292755
218 0.381582 0.292755 0.309581 0.470547
219 0.476906 0.375 0.381582 0.292755
220 0.381582 0.292755 0.5 0.25
221 0.381582 0.292755 0.407652 0.135417
222 0.381582 0.292755 0.178385 0.329427
223 0.381582 0.292755 0.212436 0.227274
224 0.476906 0.375 0.409936 0.452006
225 0.409936 0.452006 0.309581 0.470547
226 0.5 0.5 0.409936 0.452006
227 0.409936 0.452006 0.381582 0.292755
229 0.38629 0.604883 0.5 0.5
230 0.309581 0.470547 0.38629 0.604883
231 0.38629 0.604883 0.409936 0.452006
234 0.640625 0.609375 0.513084 0.628267
235 0.513084 0.628267 0.38629 0.604883
239 0.513084 0.628267 0.5 0.5
240 0.75 0.75 0.597176 0.756016
241 0.597176 0.756016 0.513084 0.628267
244 0.597176 0.756016 0.640625 0.609375
247 0.25 0.75 0.420698 0.773757
250 0.38629 0.604883 0.437551 0.682381
251 0.437551 0.682381 0.420698 0.773757
252 0.513084 0.628267 0.437551 0.682381
255 0.25 0.75 0.236887 0.601126
256 0.236887 0.601126 0.309581 0.470547
259 0.236887 0.601126 0.38629 0.604883
260 0.640625 0.609375 0.671433 0.69826
261 0.671433 0.69826 0.597176 0.756016
262 0.75 0.75 0.671433 0.69826
263 0.671433 0.69826 0.8125 0.5625
274 0.38629 0.604883 0.309911 0.669708
275 0.309911 0.669708 0.236887 0.601126
276 0.25 0.75 0.309911 0.669708
277 0.309911 0.669708 0.437551 0.682381
278 0.309911 0.669708 0.420698 0.773757
283 0 0.5 0.163542 0.474771
284 0.163542 0.474771 0.236887 0.601126
286 0.163542 0.474771 0.309581 0.470547
287 0.178385 0.329427 0.234709 0.408609
288 0.234709 0.408609 0.163542 0.474771
289 0.309581 0.470547 0.234709 0.408609
290 0.234709 0.408609 0.381582 0.292755
